aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip.st,SpkrType,tds_min.st,ocds_min.st,cds_min.st,ads_min.st,tds_mph.st,ocds_mph.st,cds_mph.st,ads_mph.st
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-6,2.5,5,Woman,0.02,0.061,0.08,1.808,0.48,1.464,1.92,43.392
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-7,2.5,2,Child,0,0.024,0.024,0.233,0,0.5760000000000001,0.5760000000000001,5.5920000000000005
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-7,2.5,0,Man,0,0,0,0,0,0,0,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-7,2.5,2,Woman,0.185,0.104,0.289,0.462,4.4399999999999995,2.496,6.936,11.088
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-8,2.5,4,Child,0.33,2.139,2.469,0,7.92,51.336,59.25599999999999,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-8,2.5,0,Man,0,0,0,0,0,0,0,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-8,2.5,2,Woman,0,0.429,0.429,0,0,10.296,10.296,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-9,2.5,3,Child,0,0.137,0.137,0.125,0,3.2880000000000003,3.2880000000000003,3
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-9,2.5,1,Man,0,0,0,0.255,0,0,0,6.12
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-9,2.5,3,Woman,0.052,0.363,0.416,0.26,1.248,8.712,9.984,6.24
1156,ROW,UK_English,UK_English,British English,F,25,1,2,1,Child,0.714,0,0.714,0.069,21.42,0,21.42,2.0700000000000003
1156,ROW,UK_English,UK_English,British English,F,25,1,2,1,Man,0,0.007,0.007,0,0,0.21,0.21,0
1156,ROW,UK_English,UK_English,British English,F,25,1,2,0,Woman,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,10,2,1,Child,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,10,2,1,Man,0,0.039,0.039,0.254,0,1.17,1.17,7.62
1156,ROW,UK_English,UK_English,British English,F,25,10,2,1,Woman,0.055,0,0.055,0.149,1.65,0,1.65,4.47
